Date,Open,High,Low,Close,Volume
2026-04-14,387.915,394.69,386.52,393.11,37504486
2026-04-15,398,414.3699,396.73,411.22,45063389
2026-04-16,419.86,420.82,412.14,420.26,41642361
2026-04-17,424.82,431.58,420.69,422.79,48568190
2026-04-20,421.145,423.33,416.3,418.07,27582237
2026-04-21,420.24,427.18,417.2,424.16,32048495
2026-04-22,426.185,433.7,423.67,432.92,29378173
2026-04-23,419.885,423.66,411.4101,415.75,38307959
2026-04-24,416.97,424.95,415.8,424.62,27457405
2026-04-27,422.375,427.11,417.0701,424.82,30867303
2026-04-28,424.57,429.92,421.9,429.25,30438087
2026-04-29,424.575,426.82,420.29,424.46,38288316
2026-04-30,410.81,414.42,398.01,407.78,70909408
2026-05-01,412.8,417.11,410.435,414.44,31372361
2026-05-04,411.54,420.78,410.8,413.62,28066528
2026-05-05,415.32,416.7799,408.8,411.38,25700891
2026-05-06,408,418.4228,405.11,413.96,30285898
2026-05-07,420.11,427.98,418.76,420.77,34942445
2026-05-08,417.385,418.63,414,415.12,33383790
2026-05-11,407.785,412.69,405.5,412.66,35657943
2026-05-12,414.48,415.5,406.64,407.77,38594221
2026-05-13,403.2,406.31,401.03,405.21,29667073
2026-05-14,404.48,411.84,400.88,409.43,27077542
2026-05-15,414.27,428.17,412.91,421.92,50771160
2026-05-18,416.62,425.12,415.61,423.54,32564130
2026-05-19,429.9,432.7,416.49,417.42,33018678
2026-05-20,414.165,422.1,411.3001,421.06,27864016
2026-05-21,424.75,426.34,415.71,419.09,31393469
2026-05-22,419.535,424.4,416.33,418.57,22390344
2026-05-26,416.43,419.77,413.02,416.03,30398049
2026-05-27,411.01,415.94,409.58,412.67,28901479
2026-05-28,412.975,429.49,412.67,426.99,47250541
2026-05-29,432.545,450.33,432.36,450.24,79654376
2026-06-01,464.84,466.32,458.27,460.52,53628910
2026-06-02,446.88,453.5,440.43,441.31,37036801
2026-06-03,438.45,440.39,424.25,427.34,39037007
2026-06-04,435.81,436.15,426.41,428.05,26899511
2026-06-05,428.34,429.47,414.4,416.67,34782165
2026-06-08,414.14,417.1599,408.56,411.74,32086714
2026-06-09,409.03,411.98,398.48,403.41,35317302
2026-06-10,398.55,405.04,397.16,397.36,32576041
2026-06-11,395.205,396.85,384,390.34,47224135
2026-06-12,391.43,391.74,382.27,390.74,34922036
2026-06-15,396.795,401.75,392.845,399.76,32266437
2026-06-16,395.79,396.84,390.69,393.83,31506846
2026-06-17,390.25,390.37,377.32,378.91,41987834
2026-06-18,377.82,381.37,373.28,379.4,59714157
2026-06-22,375.74,381.63,367.07,367.34,45171106
2026-06-23,372.38,377.22,370.67,373.94,40647605
2026-06-24,371.57,378.88,364.78,365.46,44509854
2026-06-25,362.77,364.23,349.2,352.83,66360473
2026-06-26,357.15,376.61,355.43,372.97,186201631
2026-06-29,377.5,380.5,359.9,368.57,51229885
2026-06-30,371.03,374.15,367.45,373.02,44945696
2026-07-01,380.825,388.83,374.89,384.28,48065801
2026-07-02,384.48,392.2,383.7,390.49,42194409
2026-07-06,387.04,389.15,381.22,386.74,34224543
2026-07-07,392.49,395.57,388.22,388.84,29297524
2026-07-08,384.03,385.31,381.33,383.34,25908255
2026-07-09,374.45,384.65,373.35,384.36,31083197
2026-07-10,387.8,391.91,381.5,385.1,24644605
2026-07-13,387.745,393.65,384.15,390.99,28914877
2026-07-14,382.82,388.19,378.65,384.93,27863916
2026-07-15,387.8,398.96,386.4,395.63,36253745
2026-07-16,398.31,405.99,392.0501,401.1,37047443
2026-07-17,394.855,398.39,389.39,393.82,33049842
2026-07-20,391.41,403.18,389.65,402.29,27915762
2026-07-21,398.805,401.47,396.32,397.75,24126632
2026-07-22,399.58,401,386.96,390.34,28142511
2026-07-23,389.965,391.78,377.39,381.58,30351752
2026-07-24,387.05,389.03,380.65,381.7,27659388
2026-07-27,390.08,394.2,387.99,389.1,27856160
2026-07-28,393.16,400.32,391.3,393.35,32367546
2026-07-29,393.4,401.25,388.74,390.54,47209032
2026-07-30,437.9,458.69,432.44,451.1,110160704
2026-07-31,450,466.84,449.33,464.72,60845971
2026-08-03,476.125,491.65,475,487.65,66762074
2026-08-04,480.9,499.4399,479.17,492.81,50455454
2026-08-05,496.355,498.24,485.68,487.46,33388871
2026-08-06,488.55,501.555,488.52,499.86,36441544
2026-08-07,499.21,505.18,498.73,499.99,28846235
2026-08-10,503.44,513.73,502.27,506.06,31206137
2026-08-11,504.33,505.33,499.55,503.81,23049791
2026-08-12,499.99,501.5,491.52,492.43,29001478
2026-08-13,493.265,501.34,493.01,496.88,23038979
2026-08-14,496.355,500.01,493.92,495.4,16199838
